zeit	luftfeuchte	Temperatur	Druck
18:00:38	  000044.2	  000016.6	  000996.9
18:01:38	  000044.1	  000016.6	  000996.9
18:02:38	  000044.2	  000016.6	  000997.0
18:03:38	  000044.2	  000016.6	  000997.0
18:04:38	  000044.2	  000016.6	  000996.9
18:05:38	  000044.2	  000016.6	  000996.9
18:06:38	  000044.2	  000016.6	  000997.0
18:07:38	  000044.2	  000016.6	  000997.0
18:08:38	  000044.2	  000016.6	  000997.1
18:09:38	  000044.2	  000016.6	  000997.0
18:10:38	  000044.2	  000016.6	  000997.1
18:11:38	  000044.2	  000016.6	  000997.0
18:12:38	  000044.2	  000016.6	  000997.1
18:13:38	  000044.2	  000016.6	  000997.2
18:14:38	  000044.2	  000016.6	  000997.1
18:15:38	  000044.2	  000016.6	  000997.1
18:16:38	  000044.2	  000016.6	  000997.1
18:17:38	  000044.2	  000016.6	  000997.3
18:18:38	  000044.2	  000016.6	  000997.3
18:19:38	  000044.2	  000016.6	  000997.3
18:20:38	  000044.2	  000016.6	  000997.3
18:21:38	  000044.2	  000016.6	  000997.4
18:22:38	  000044.2	  000016.6	  000997.3
18:23:38	  000044.2	  000016.6	  000997.3
18:24:38	  000044.2	  000016.6	  000997.4
18:25:38	  000044.2	  000016.6	  000997.5
18:26:38	  000044.2	  000016.6	  000997.4
18:27:38	  000044.2	  000016.6	  000997.5
18:28:38	  000044.2	  000016.6	  000997.5
18:29:38	  000044.2	  000016.6	  000997.4
18:30:38	  000044.2	  000016.6	  000997.5
18:31:38	  000044.2	  000016.6	  000997.5
18:32:38	  000044.2	  000016.6	  000997.5
18:33:38	  000044.2	  000016.6	  000997.6
18:34:38	  000044.2	  000016.6	  000997.6
18:35:38	  000044.2	  000016.6	  000997.7
18:36:38	  000044.2	  000016.6	  000997.7
18:37:38	  000044.2	  000016.6	  000997.6
18:38:38	  000044.2	  000016.6	  000997.7
18:39:38	  000044.2	  000016.6	  000997.7
18:40:38	  000044.2	  000016.6	  000997.7
18:41:38	  000044.2	  000016.6	  000997.7
18:42:38	  000044.2	  000016.6	  000997.7
18:43:38	  000044.2	  000016.6	  000997.8
18:44:38	  000044.2	  000016.6	  000997.8
18:45:38	  000044.2	  000016.6	  000997.8
18:46:38	  000044.2	  000016.6	  000997.9
18:47:38	  000044.2	  000016.6	  000997.9
18:48:38	  000044.2	  000016.6	  000997.9
18:49:38	  000044.2	  000016.6	  000997.9
18:50:38	  000044.2	  000016.6	  000998.0
18:51:38	  000044.2	  000016.6	  000997.9
18:52:38	  000044.2	  000016.6	  000998.1
18:53:38	  000044.2	  000016.6	  000998.0
18:54:38	  000044.2	  000016.6	  000998.0
18:55:38	  000044.2	  000016.6	  000998.0
18:56:38	  000044.2	  000016.6	  000998.1
18:57:38	  000044.2	  000016.6	  000998.2
